file,age,gender,race,brisque_score
train/5.jpg,20-29,Female,Indian,47.603606409359344
train/9.jpg,10-19,Male,White,41.93333747360177
train/15.jpg,60-69,Female,Indian,45.61508042821137
train/20.jpg,50-59,Male,Southeast Asian,34.88939521625136
train/21.jpg,20-29,Female,Indian,42.73344133481598
train/22.jpg,30-39,Female,Middle Eastern,49.27758931084847
train/29.jpg,20-29,Male,Indian,47.440231579398386
train/31.jpg,40-49,Female,Black,39.92356913300747
train/32.jpg,10-19,Female,East Asian,27.385550865820477
train/35.jpg,20-29,Male,East Asian,40.78459434973203
train/36.jpg,60-69,Female,Middle Eastern,23.23063867133257
train/41.jpg,20-29,Male,White,45.45574713584685
train/43.jpg,10-19,Female,Southeast Asian,49.92937842877902
train/45.jpg,10-19,Male,Indian,20.116143068927812
train/48.jpg,3-9,Female,Middle Eastern,23.739757322092117
train/58.jpg,40-49,Female,Latino_Hispanic,33.14728999074279
train/65.jpg,30-39,Male,East Asian,30.214293779820053
train/66.jpg,30-39,Male,Latino_Hispanic,40.38124690255856
train/72.jpg,30-39,Male,Latino_Hispanic,44.70109169239569
train/73.jpg,30-39,Female,Latino_Hispanic,41.77130645722056
train/77.jpg,50-59,Female,Black,28.275678505760624
train/103.jpg,40-49,Male,Indian,46.56028539675228
train/109.jpg,20-29,Female,Middle Eastern,22.2312324398915
train/113.jpg,30-39,Male,Middle Eastern,40.61322906389316
train/115.jpg,50-59,Male,Black,41.39983276164648
train/119.jpg,40-49,Male,Indian,2.9425579434871167
train/127.jpg,3-9,Female,White,39.12634525526366
train/135.jpg,40-49,Female,White,16.417695189134264
train/141.jpg,10-19,Male,Latino_Hispanic,40.68039161282488
train/151.jpg,20-29,Female,Black,16.802359283173445
train/152.jpg,20-29,Male,Middle Eastern,33.86425491979796
train/156.jpg,20-29,Male,Latino_Hispanic,27.141318020120902
train/161.jpg,10-19,Female,Latino_Hispanic,-11.088002336952997
train/164.jpg,20-29,Female,East Asian,39.55528391476739
train/165.jpg,50-59,Female,Southeast Asian,45.327066275139
train/170.jpg,20-29,Female,Southeast Asian,43.72558027791533
train/183.jpg,20-29,Female,Black,39.71392694697872
train/187.jpg,30-39,Female,Middle Eastern,44.29463080230536
train/194.jpg,20-29,Male,East Asian,48.70523538635743
train/196.jpg,20-29,Female,Middle Eastern,28.83601592884051
train/200.jpg,10-19,Male,Indian,31.94355004527617
train/201.jpg,40-49,Female,Latino_Hispanic,39.10514781766844
train/211.jpg,20-29,Male,Southeast Asian,37.302274902883
train/212.jpg,3-9,Male,East Asian,45.52471844685826
train/215.jpg,30-39,Female,Black,26.371506482334297
train/224.jpg,40-49,Female,Latino_Hispanic,35.86701679493896
train/233.jpg,20-29,Male,Middle Eastern,22.89577503870052
train/238.jpg,30-39,Male,Southeast Asian,39.40313464133098
train/239.jpg,30-39,Female,White,40.27182955710006
train/242.jpg,20-29,Female,Indian,7.610628154773366
train/244.jpg,40-49,Female,Black,48.005137206528815
train/247.jpg,20-29,Female,Indian,49.69788666881979
train/251.jpg,3-9,Male,Black,41.71029263899092
train/258.jpg,3-9,Male,Southeast Asian,22.055473170793192
train/259.jpg,10-19,Female,Latino_Hispanic,38.51323841916721
train/267.jpg,40-49,Male,Black,5.124946266801743
train/271.jpg,20-29,Female,Southeast Asian,36.615610654326446
train/273.jpg,30-39,Male,Indian,28.259503763904576
train/278.jpg,3-9,Female,White,38.246145053947856
train/279.jpg,20-29,Female,Latino_Hispanic,13.961875390041968
train/282.jpg,40-49,Female,Black,28.18483847473337
train/284.jpg,10-19,Female,Latino_Hispanic,45.14276543007301
train/286.jpg,20-29,Male,Southeast Asian,33.19791737408988
train/290.jpg,10-19,Male,East Asian,37.937461545301375
train/293.jpg,10-19,Male,Black,47.941788741418094
train/298.jpg,20-29,Male,White,32.92512417066857
train/303.jpg,20-29,Female,White,32.60527499669067
train/307.jpg,30-39,Female,East Asian,41.01379440456114
train/309.jpg,40-49,Female,White,47.97228895713371
train/312.jpg,20-29,Female,Middle Eastern,19.611758288039457
train/315.jpg,30-39,Male,Indian,42.47242389938285
train/317.jpg,30-39,Female,Southeast Asian,43.34861805529428
train/319.jpg,10-19,Female,Indian,27.48445207688721
train/326.jpg,40-49,Male,East Asian,37.3767591643452
train/332.jpg,40-49,Female,Latino_Hispanic,34.65550526632862
train/336.jpg,30-39,Female,Latino_Hispanic,46.787736198176134
train/342.jpg,40-49,Female,Indian,28.87545955143716
train/350.jpg,20-29,Male,Middle Eastern,36.301144834053815
